conversation_id,persona_id,persona_name,persona_group,persona_volatility,num_turns,avg_drift,total_distance,drift_variance
art_85_8,13,Critical Evaluator,negative,medium,8,0.42143756,2.950063,0.005015972
art_85_8,14,Self Demanding,negative,medium,8,0.31768742,2.2238119,0.005521651
art_85_8,15,Threat Aware,negative,medium,8,0.640833,4.4858313,0.010678277
art_85_8,16,Emotionally Balanced,balanced,medium,8,0.03037053,0.2125937,6.719574e-05
art_85_8,17,Empathy Driven,balanced,medium,8,0.5203107,3.642175,0.005694402
art_85_8,18,Socially Sensitive,balanced,medium,8,0.37556806,2.6289763,0.012488486
art_85_8,19,Cautious Processor,balanced,medium,8,0.014363336,0.10054336,2.284431e-05
art_91_10,0,Stoic Regulator,suppressive,low,10,0.08983474,0.8085127,0.0007396502
art_91_10,1,Calm Reflective,suppressive,low,10,0.2118654,1.9067886,0.005016331
art_91_10,2,Detached Observer,suppressive,low,10,0.07928823,0.7135941,0.0013240756
art_91_10,3,Rational Analyzer,suppressive,low,10,0.10251415,0.92262733,0.0010341768
art_91_10,4,Emotionally Volatile,reactive,high,10,0.507526,4.567734,0.026041275
art_91_10,5,Highly Sensitive,reactive,high,10,0.5265642,4.7390776,0.010323565
art_91_10,6,Easily Overwhelmed,reactive,high,10,0.34472665,3.1025398,0.032349225
art_91_10,7,Impulsive Reactor,reactive,high,10,0.4917151,4.425436,0.011939272
art_91_10,8,Optimistic Interpreter,positive,medium,10,0.9258821,8.332939,0.09882128
art_91_10,9,Gratitude Focused,positive,medium,10,0.4898404,4.4085636,0.012887533
art_91_10,10,Hope Oriented,positive,medium,10,0.8459195,7.6132755,0.06995838
art_91_10,11,Reward Seeker,positive,medium,10,0.16578066,1.492026,0.003501295
art_91_10,12,Negative Anticipator,negative,medium,10,0.66297203,5.966748,0.031993836
art_91_10,13,Critical Evaluator,negative,medium,10,0.3864962,3.4784656,0.00959083
art_91_10,14,Self Demanding,negative,medium,10,0.2880526,2.5924733,0.008486945
art_91_10,15,Threat Aware,negative,medium,10,0.5882722,5.29445,0.019948574
art_91_10,16,Emotionally Balanced,balanced,medium,10,0.028447274,0.25602546,9.532407e-05
art_91_10,17,Empathy Driven,balanced,medium,10,0.4769071,4.292164,0.0075348457
art_91_10,18,Socially Sensitive,balanced,medium,10,0.3294253,2.9648278,0.014659937
art_91_10,19,Cautious Processor,balanced,medium,10,0.012444528,0.11200075,3.171747e-05
art_92_9,0,Stoic Regulator,suppressive,low,9,0.101385236,0.8110819,0.0005103865
art_92_9,1,Calm Reflective,suppressive,low,9,0.2288058,1.8304464,0.00400626
art_92_9,2,Detached Observer,suppressive,low,9,0.07833268,0.6266614,0.0011815715
art_92_9,3,Rational Analyzer,suppressive,low,9,0.10188734,0.8150987,0.00081593427
art_92_9,4,Emotionally Volatile,reactive,high,9,0.53967774,4.317422,0.021669582
art_92_9,5,Highly Sensitive,reactive,high,9,0.55525666,4.4420533,0.0071050664
art_92_9,6,Easily Overwhelmed,reactive,high,9,0.36738437,2.939075,0.0303695
art_92_9,7,Impulsive Reactor,reactive,high,9,0.51969355,4.1575484,0.007923521
art_92_9,8,Optimistic Interpreter,positive,medium,9,0.98101145,7.8480916,0.086633824
art_92_9,9,Gratitude Focused,positive,medium,9,0.5141345,4.113076,0.009740358
art_92_9,10,Hope Oriented,positive,medium,9,0.899618,7.196944,0.063428804
art_92_9,11,Reward Seeker,positive,medium,9,0.17142902,1.3714322,0.0028896867
art_92_9,12,Negative Anticipator,negative,medium,9,0.7014221,5.611377,0.027432106
art_92_9,13,Critical Evaluator,negative,medium,9,0.4053634,3.2429073,0.0073847156
art_92_9,14,Self Demanding,negative,medium,9,0.30200058,2.4160047,0.006868298
art_92_9,15,Threat Aware,negative,medium,9,0.6200263,4.9602103,0.016272832
