persona_name,persona_group,persona_volatility,step_drift,var_drift,total_distance,alpha_p
Easily Overwhelmed,reactive,high,0.031016657,4.8238435e-05,0.2171166,0.026550476
Impulsive Reactor,reactive,high,0.29990545,0.0073267585,2.099338,0.4433067
Optimistic Interpreter,positive,medium,0.1294051,0.0013783034,0.9058357,0.9865302
Gratitude Focused,positive,medium,0.29172993,0.0070259674,2.0421095,0.8955416
Hope Oriented,positive,medium,0.21182798,0.0036333809,1.4827958,0.96155053
Reward Seeker,positive,medium,0.42775398,0.015156183,2.994278,0.7574722
Negative Anticipator,negative,medium,0.14436683,0.0017181569,1.0105678,0.98216563
Critical Evaluator,negative,medium,0.35015127,0.010184163,2.4510589,0.8635934
Self Demanding,negative,medium,0.38923934,0.012584874,2.7246754,0.8129467
Threat Aware,negative,medium,0.17128864,0.0024129576,1.1990205,0.97436404
Emotionally Balanced,balanced,medium,0.16983399,0.002314158,1.1888379,0.9524554
Empathy Driven,balanced,medium,0.4352776,0.015627792,3.0469432,0.6808769
Socially Sensitive,balanced,medium,0.3200781,0.008513359,2.2405467,0.8621408
Cautious Processor,balanced,medium,0.21465282,0.0037902752,1.5025698,0.92540973
Stoic Regulator,suppressive,low,0.16247351,0.0021304088,1.1373146,0.9513876
Calm Reflective,suppressive,low,0.17432936,0.0024816352,1.2203054,0.9417706
Detached Observer,suppressive,low,0.13300301,0.0014239576,0.93102103,0.9663441
Rational Analyzer,suppressive,low,0.101697646,0.00084178534,0.71188354,0.97745186
Emotionally Volatile,reactive,high,0.08242689,0.0005245438,0.5769882,0.110290706
Highly Sensitive,reactive,high,0.31009296,0.007811538,2.1706507,0.43941545
Easily Overwhelmed,reactive,high,0.025011197,3.9897586e-05,0.17507838,0.026550476
Impulsive Reactor,reactive,high,0.2981282,0.0072242594,2.0868974,0.4433067
Optimistic Interpreter,positive,medium,0.12936343,0.0013772829,0.90554404,0.9865302
Gratitude Focused,positive,medium,0.29114762,0.0069957934,2.0380332,0.8955416
Hope Oriented,positive,medium,0.21161665,0.0036252579,1.4813166,0.96155053
Reward Seeker,positive,medium,0.42651224,0.015059119,2.9855857,0.7574722
Negative Anticipator,negative,medium,0.14429566,0.0017162479,1.0100696,0.98216563
Critical Evaluator,negative,medium,0.34938654,0.010135958,2.445706,0.8635934
Self Demanding,negative,medium,0.38823578,0.012513712,2.7176504,0.8129467
Threat Aware,negative,medium,0.17116359,0.0024090197,1.1981452,0.97436404
Emotionally Balanced,balanced,medium,0.1695849,0.0023067142,1.1870943,0.9524554
Empathy Driven,balanced,medium,0.43377823,0.015508036,3.0364475,0.6808769
Socially Sensitive,balanced,medium,0.31932944,0.0084699225,2.235306,0.8621408
Cautious Processor,balanced,medium,0.21425612,0.0037751715,1.4997928,0.92540973
Stoic Regulator,suppressive,low,0.15975381,0.0026127975,1.2780305,0.9513876
Calm Reflective,suppressive,low,0.1710895,0.003038967,1.368716,0.9417706
Detached Observer,suppressive,low,0.13028522,0.0017246602,1.0422817,0.9663441
Rational Analyzer,suppressive,low,0.099116564,0.0010105642,0.7929325,0.97745186
Emotionally Volatile,reactive,high,0.074587606,0.00047530836,0.59670085,0.110290706
Highly Sensitive,reactive,high,0.271394,0.007266662,2.171152,0.43941545
Easily Overwhelmed,reactive,high,0.02522039,3.7169557e-05,0.20176312,0.026550476
Impulsive Reactor,reactive,high,0.26094842,0.006724833,2.0875874,0.4433067
Optimistic Interpreter,positive,medium,0.1275774,0.0017024515,1.0206192,0.9865302
Gratitude Focused,positive,medium,0.2796373,0.008204025,2.2370985,0.8955416
Hope Oriented,positive,medium,0.20356798,0.0042164307,1.6285439,0.96155053
Reward Seeker,positive,medium,0.38901502,0.015798952,3.1121202,0.7574722
Negative Anticipator,negative,medium,0.14057422,0.0020696104,1.1245937,0.98216563
Critical Evaluator,negative,medium,0.33086967,0.011537307,2.6469574,0.8635934
Self Demanding,negative,medium,0.360518,0.013659123,2.884144,0.8129467
Threat Aware,negative,medium,0.16491517,0.002831846,1.3193214,0.97436404
Emotionally Balanced,balanced,medium,0.16642238,0.0028131525,1.331379,0.9524554
Empathy Driven,balanced,medium,0.38830203,0.0155569175,3.1064162,0.6808769
Socially Sensitive,balanced,medium,0.3022331,0.009625831,2.4178648,0.8621408
Cautious Processor,balanced,medium,0.20871124,0.004556462,1.6696899,0.92540973
Stoic Regulator,suppressive,low,0.15672377,0.0031169113,1.4105139,0.9513876
Calm Reflective,suppressive,low,0.16739476,0.0036120813,1.5065528,0.9417706
Detached Observer,suppressive,low,0.12766632,0.0020412495,1.148997,0.9663441
Rational Analyzer,suppressive,low,0.09663909,0.0011839201,0.8697518,0.97745186
Emotionally Volatile,reactive,high,0.0724105,0.00045288968,0.65169454,0.110290706
Highly Sensitive,reactive,high,0.24232565,0.0068751937,2.1809309,0.43941545
Easily Overwhelmed,reactive,high,0.030672623,3.9972438e-05,0.2760536,0.026550476
Impulsive Reactor,reactive,high,0.23300092,0.0063671367,2.0970082,0.4433067
Optimistic Interpreter,positive,medium,0.12549606,0.0020420414,1.1294645,0.9865302
Gratitude Focused,positive,medium,0.26818582,0.009361768,2.4136724,0.8955416
Hope Oriented,positive,medium,0.19650665,0.0048136665,1.7685598,0.96155053
Reward Seeker,positive,medium,0.3566403,0.016339643,3.2097628,0.7574722
Negative Anticipator,negative,medium,0.1366764,0.0024234662,1.2300876,0.98216563
Critical Evaluator,negative,medium,0.31328842,0.012813119,2.8195958,0.8635934
Self Demanding,negative,medium,0.3354998,0.014615381,3.019498,0.8129467
Threat Aware,negative,medium,0.15898505,0.003245705,1.4308654,0.97436404
Emotionally Balanced,balanced,medium,0.16308135,0.00334333,1.4677322,0.9524554
Empathy Driven,balanced,medium,0.3509406,0.015514981,3.1584654,0.6808769
Socially Sensitive,balanced,medium,0.28599286,0.01067597,2.5739357,0.8621408
